CODGEO,P19_POP,SUPERF,P19_LOG,P19_RP,dens_pop_km2,rap_log_rp,libelle,latitude,longitude
01001,779.0,15.95,359.574601708852,316.115807242449,48.84,0.88,L'Abergement-Clémenciat,46.1534255214,4.92611354223
01002,256.0,9.15,175.251661461641,105.603176613156,27.98,0.6,L'Abergement-de-Varey,46.0091878776,5.42801696363
01004,14134.0,24.6,7452.83556296103,6606.34657500212,574.55,0.89,Ambérieu-en-Bugey,45.9608475114,5.3729257777
01005,1751.0,15.92,802.963325822979,723.196408529746,109.99,0.9,Ambérieux-en-Dombes,45.9961799872,4.91227250796
01006,112.0,5.88,75.5469696969697,53.9636363636364,19.05,0.71,Ambléon,45.7494989044,5.59432017366
01007,2800.0,33.55,1261.0,1169.0,83.46,0.93,Ambronay,46.0055913782,5.35760660735
01008,762.0,5.22,358.893983223188,326.436840366046,145.98,0.91,Ambutrix,45.9367134524,5.3328092349
01009,326.0,6.94,194.176495737161,147.442453183969,46.97,0.76,Andert-et-Condon,45.7873565333,5.65788307924
01010,1105.0,29.26,595.72856781834,467.677243315028,37.76,0.79,Anglefort,45.9093715116,5.79516005674
01011,368.0,14.57,185.897043743484,149.090761020971,25.26,0.8,Apremont,46.2054981558,5.65781475272
01012,329.0,21.65,218.643467739259,148.021245517037,15.2,0.68,Aranc,46.0015344029,5.51130637511
01013,143.0,14.1,115.5625,62.5625,10.14,0.54,Arandas,45.8908155275,5.49870439091
01014,3349.0,23.49,1478.148041475,1363.66324378625,142.57,0.92,Arbent,46.2834936005,5.69061651221
01015,650.0,22.49,411.005832971355,294.118077869314,28.9,0.72,Arboys en Bugey,45.7237621545,5.65263086429
01015,650.0,22.49,411.005832971355,294.118077869314,28.9,0.72,Arbignieu,45.7237621545,5.65263086429
01016,460.0,17.47,218.247188653058,183.799126637555,26.33,0.84,Arbigny,46.4776762988,4.9599416863
01017,457.0,7.84,322.574945494902,199.091676440723,58.29,0.62,Argis,45.9337182132,5.48251100314
01019,27.0,6.82,29.7068965517241,13.5,3.96,0.45,Armix,45.8541838459,5.58357838695
01021,1457.0,5.5,592.328837031067,545.984373059186,264.91,0.92,Ars-sur-Formans,45.9934611,4.82199649494
01022,1249.0,3.75,731.626597662229,578.486548531914,333.07,0.79,Artemare,45.8695891748,5.69065283943
01023,76.0,4.68,46.0,34.0,16.24,0.74,Asnières-sur-Saône,46.3857281418,4.88387478623
01024,3251.0,18.69,1440.54409919621,1348.0437932185,173.94,0.94,Attignat,46.2861802203,5.1795233845
01025,4065.0,56.87,1729.0,1597.0,71.48,0.92,Bâgé-Dommartin,46.3233203302,4.9528678933
01025,4065.0,56.87,1729.0,1597.0,71.48,0.92,Bâgé-la-Ville,46.3233203302,4.9528678933
01026,973.0,0.88,462.0,429.0,1105.68,0.93,Bâgé-le-Châtel,46.3077069231,4.92862084189
01027,2563.0,18.04,755.388125530418,709.331495696164,142.07,0.94,Balan,45.8311226453,5.10780019249
01028,617.0,8.91,265.621186885246,243.8384,69.25,0.92,Baneins,46.1141214445,4.90146475101
01029,685.0,14.07,314.044664097695,262.044664097695,48.69,0.83,Beaupont,46.4288360203,5.26003405676
01030,829.0,0.94,443.0,368.0,881.91,0.83,Beauregard,46.0008580204,4.75600664694
01031,3652.0,7.83,1839.92026206416,1681.26622962323,466.41,0.91,Bellignat,46.2373497134,5.6360052884
01032,3376.0,13.3,1302.04116275337,1222.42828455322,253.83,0.94,Béligneux,45.8591464826,5.13989505865
01033,16378.0,62.53,8410.22124457504,7110.0391445812,261.92,0.85,Valserhône,46.1067901755,5.83202736464
01033,16378.0,62.53,8410.22124457504,7110.0391445812,261.92,0.85,Bellegarde-sur-Valserine,46.1067901755,5.83202736464
01034,9182.0,22.42,5017.59571577257,4271.26248637039,409.55,0.85,Belley,45.7494697806,5.68412365526
01035,310.0,17.63,232.753361682565,146.948051948052,17.58,0.63,Belleydoux,46.2530316409,5.78471723698
01036,1326.0,56.71,972.246073065535,608.968265686712,23.38,0.63,Valromey-sur-Séran,45.8847475883,5.65115788055
01036,1326.0,56.71,972.246073065535,608.968265686712,23.38,0.63,Belmont-Luthézieu,45.8847475883,5.65115788055
01037,308.0,15.33,192.591479983543,127.136795226959,20.09,0.66,Bénonces,45.8374974718,5.48285330863
01038,754.0,18.25,343.143756932132,320.886446990612,41.32,0.94,Bény,46.3188629218,5.28253433405
01039,443.0,10.3,270.164873624702,200.374797288824,43.01,0.74,Béon,45.8568920052,5.75220315052
01040,486.0,10.83,222.176963719894,190.354636675869,44.88,0.86,Béréziat,46.3674371012,5.04021655965
01041,748.0,3.37,395.83049600723,331.340700088863,221.96,0.84,Bettant,45.9368718303,5.36667617009
01042,291.0,2.77,128.402662573567,117.906794804972,105.05,0.92,Bey,46.2191748844,4.84642690241
01043,4754.0,10.64,2047.0,1901.0,446.8,0.93,Beynost,45.8390325448,4.99738002182
01044,632.0,13.7,347.054846549417,267.387240915614,46.13,0.77,Billiat,46.0791346715,5.76591818163
01045,283.0,15.83,120.04983394377,102.90576614716,17.88,0.86,Birieux,45.9533995502,5.03666479984
01046,895.0,11.39,379.590677436335,344.753794642579,78.58,0.91,Biziat,46.2266794269,4.94084673168
01047,1182.0,9.32,478.080473288425,447.092198581558,126.82,0.94,Blyes,45.8469686113,5.25166055884
01049,3283.0,9.4,1346.4112493775,1256.96784512218,349.26,0.93,La Boisse,45.8446213549,5.02783224111
01050,365.0,9.05,155.983678105719,133.428122550164,40.33,0.86,Boissey,46.3727973545,4.9989764059
01051,91.0,4.92,90.9279026217229,46.0112359550562,18.5,0.51,Bolozon,46.1960338503,5.47095075411
01052,328.0,26.09,147.125510596773,135.125510596773,12.57,0.92,Bouligneux,46.0232774841,4.99252709276
01053,41111.0,23.86,23599.1649080068,20440.7894071288,1723.01,0.87,Bourg-en-Bresse,46.2051520382,5.24602125501
01054,1457.0,8.98,587.800715825897,555.606320029049,162.25,0.95,Bourg-Saint-Christophe,45.8861934456,5.14349196896
01056,349.0,16.94,227.793935387424,150.130142283976,20.6,0.66,Boyeux-Saint-Jérôme,46.0363677631,5.46322744717
01057,519.0,7.31,237.184259933097,210.140474622363,71.0,0.89,Boz,46.4051688134,4.9135797178
01058,828.0,11.0,417.13516505119,345.688356540552,75.27,0.83,Brégnier-Cordon,45.6416854652,5.61653371
01060,493.0,23.79,371.779298115514,239.121200429139,20.72,0.64,Brénod,46.0759940484,5.61418361314
01061,1144.0,6.9,524.397106415382,467.495145631068,165.8,0.89,Brens,45.7135069062,5.68998154517
01062,934.0,7.73,400.042568757413,361.747995114002,120.83,0.9,Bressolles,45.869423064,5.1009428902
01063,533.0,4.48,247.533595691215,230.624533318738,118.97,0.93,Brion,46.1686327301,5.54656422194
01064,1070.0,12.29,537.956385732054,458.252978918427,87.06,0.85,Briord,45.7708330939,5.48537461884
01065,1812.0,10.21,795.0,762.0,177.47,0.96,Buellas,46.2104135162,5.14487465017
01066,89.0,10.82,93.0,41.0,8.23,0.44,La Burbanche,45.8598709332,5.54609714598
01067,255.0,10.01,130.0,107.0,25.47,0.82,Ceignes,46.1256533435,5.49457379202
01068,775.0,12.3,454.600711129897,334.855153205235,63.01,0.74,Cerdon,46.0720202633,5.47577586118
01069,1503.0,15.92,681.085220507382,650.640116649816,94.41,0.96,Certines,46.1337950959,5.26239539372
01071,4808.0,6.39,2257.91578343466,2039.00120710807,752.43,0.9,Cessy,46.315689376,6.0779844362
01072,3194.0,9.36,1459.82922362611,1330.88362255157,341.24,0.91,Ceyzériat,46.1832170988,5.32007207542
01073,1000.0,19.72,586.875945498483,454.245372250075,50.71,0.77,Ceyzérieu,45.8335530148,5.71933090966
01074,2589.0,32.88,1164.96373240924,1078.38440277147,78.74,0.93,Chalamont,46.0076491739,5.16936568
01075,1382.0,17.0,578.516982606966,544.114095467858,81.29,0.94,Chaleins,46.0340545373,4.79853838574
